Sample index,Sample ID 1,Title,Result,Unit of Result,Data markings of Result,Creation time,Method name,T1.,Nominal.value,T1..1,Is.excluded,Method.type,Determination.type,Overall.result.state,sample
1,1,Absorbance wavelength 1,2.96814,A,NA,18/04/2023 12:58,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
1,1,Absorbance wavelength 1,3.08375,A,NA,18/04/2023 12:59,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
1,1,Absorbance wavelength 1,3.00312,A,NA,18/04/2023 12:59,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
1,1,Absorbance wavelength 1,3.04357,A,NA,18/04/2023 13:00,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
1,1,Absorbance wavelength 1,2.92104,A,NA,18/04/2023 13:00,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
1,1,Absorbance wavelength 1,2.91846,A,NA,18/04/2023 13:01,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
1,1,Absorbance wavelength 1,3.08147,A,NA,18/04/2023 13:02,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
1,1,Absorbance wavelength 1,2.89795,A,NA,18/04/2023 13:03,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
1,1,Absorbance wavelength 1,2.83231,A,NA,18/04/2023 13:03,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
1,1,Absorbance wavelength 1,2.88784,A,NA,18/04/2023 13:04,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
1,1,Absorbance wavelength 1,2.94236,A,NA,18/04/2023 13:04,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
1,1,Absorbance wavelength 1,2.98975,A,NA,18/04/2023 13:05,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
1,1,Absorbance wavelength 1,2.92573,A,NA,18/04/2023 13:06,UV5 Continuous for 8 Samples in Cuvette Changer,NA,NA,NA,FALSE,Fixed Wavelength,General,OK,WM_Adoed_02_10
