"UNIQUE_SAMPLE_ID","sample_index","CUVETTE","title","result","unit_of_result","data_markings_of_result","creation_time","DATE","TIME","method_name","t1","nominal_value","t1_2","is_excluded","method_type","determination_type","overall_result_state","sample","tissue_type","species","replicate","temperature","TIME_DIFF","TIME_DIFF_SECS","MINUTES","LATIN_NAME"
"Paus_04_10_1","1","1","Absorbance wavelength 1",0.04209,"A",NA,2023-10-24 09:37:36,"2023-10-24",09:37:36,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:00:41,41,0.68,"Pomacentrus australis"
"Paus_04_10_2","2","2","Absorbance wavelength 1",0.08702,"A",NA,2023-10-24 09:37:43,"2023-10-24",09:37:43,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:00:41,41,0.68,"Pomacentrus australis"
"Paus_04_10_3","3","3","Absorbance wavelength 1",0.02091,"A",NA,2023-10-24 09:37:48,"2023-10-24",09:37:48,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:00:39,39,0.65,"Pomacentrus australis"
"Paus_04_10_4","4","4","Absorbance wavelength 1",0.0308,"A",NA,2023-10-24 09:37:56,"2023-10-24",09:37:56,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:00:40,40,0.67,"Pomacentrus australis"
"Paus_04_10_5","5","5","Absorbance wavelength 1",-0.01357,"A",NA,2023-10-24 09:38:01,"2023-10-24",09:38:01,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:00:38,38,0.63,"Pomacentrus australis"
"Paus_04_10_6","6","6","Absorbance wavelength 1",-0.03396,"A",NA,2023-10-24 09:38:08,"2023-10-24",09:38:08,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:00:40,40,0.67,"Pomacentrus australis"
"Paus_04_10_1","1","1","Absorbance wavelength 1",0.01445,"A",NA,2023-10-24 09:38:15,"2023-10-24",09:38:15,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:01:20,80,1.33,"Pomacentrus australis"
"Paus_04_10_2","2","2","Absorbance wavelength 1",0.05671,"A",NA,2023-10-24 09:38:22,"2023-10-24",09:38:22,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:01:20,80,1.33,"Pomacentrus australis"
"Paus_04_10_3","3","3","Absorbance wavelength 1",0.00524,"A",NA,2023-10-24 09:38:29,"2023-10-24",09:38:29,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:01:20,80,1.33,"Pomacentrus australis"
"Paus_04_10_4","4","4","Absorbance wavelength 1",0.03798,"A",NA,2023-10-24 09:38:36,"2023-10-24",09:38:36,"UV5 Continuous for 8 Samples in Cuvette Changer",NA,NA,NA,FALSE,"Fixed Wavelength","General","OK","WM_Paus_04_10","WM","Paus","04","10",00:01:20,80,1.33,"Pomacentrus australis"
